White,Black,Score
73,1246,0.5
73,5097,0.5
73,5104,0.5
73,7321,1
73,7375,0.5
88,1033,0.5
88,1860,1
88,4858,1
154,3377,0
158,8059,1
189,7357,1
213,7591,0
370,88,0.5
370,1033,0.5
370,3487,0
370,6993,0
370,7503,1
418,73,0
418,1246,0
418,5097,1
515,4562,1
527,6991,0
559,2028,1
699,1077,1
748,753,0.5
748,856,0.5
748,2938,0.5
748,4073,0.5
748,6171,1
751,885,1
751,5655,1
751,8375,0
753,5614,0.5
753,5731,0.5
793,370,0.5
793,7112,0.5
793,7831,0.5
856,6038,0.5
856,7416,0.5
870,1815,1
870,3377,0
870,7364,0.5
870,8334,0.5
885,4082,0.5
898,2231,1
898,8353,1
952,3144,0
952,7087,1
963,3362,1
971,3416,0.5
971,5614,0.5
971,8152,0.5
1020,6270,0
1033,3035,0
1033,3487,0.5
1033,6910,1
1033,7434,1
1135,2105,0.5
1135,4731,0.5
1142,5419,0
1164,870,1
1164,2861,1
1164,5310,1
1164,6029,1
1164,7447,0
1246,5097,0
1322,4540,0
1322,4560,1
1347,2962,0
1347,4329,0
1347,4431,1
1408,2981,1
1455,418,0.5
1455,1246,0.5
1455,4116,1
1455,6268,0.5
1455,7375,0.5
1512,2108,1
1512,8411,1
1535,2215,0
1535,7001,1
1594,7849,0.5
1703,1755,1
1703,8170,1
1755,1860,1
1755,7192,1
1755,8375,0.5
1779,1091,1
1779,3785,0.5
1779,5310,1
1779,6029,1
1815,7641,0.5
1837,952,0
1837,3404,0
1837,4214,1
1855,2599,1
1860,2605,0
1860,3041,0.5
1932,2487,0.5
1932,4923,0
1932,5089,1
1932,6202,1
1932,6808,1
2006,213,0
2006,856,1
2038,6261,0
2038,8267,0.5
2095,1703,0.5
2095,2684,0
2095,7189,0
2095,7802,0
2105,5310,1
2108,1932,0.5
2108,5310,1
2165,793,0
2165,885,1
2165,2283,0.5
2215,5018,0.5
2215,5419,1
2283,2684,1
2283,8388,0.5
2332,3083,1
2332,6697,1
2332,7269,1
2357,8415,0
2420,3931,0.5
2451,2981,0.5
2451,4723,0.5
2451,5057,1
2451,7582,1
2574,3628,0
2576,4082,0.5
2576,7023,1
2599,2434,1
2599,2461,1
2605,166,1
2605,4176,0.5
2605,7192,1
2605,7802,1
2605,8388,0
2609,1855,0.5
2609,1932,0.5
2652,5681,0
2684,88,0.5
2684,2748,0
2748,88,1
2748,1755,0.5
2748,4329,0
2847,2959,1
2847,4045,1
2861,3362,1
2867,4286,1
2867,5580,0
2938,3377,1
2938,3580,0.5
